delivery_date,site,tons_delivered,feed_type,vendor,driver,lot_number,bin_level_before_pct,bin_level_after_pct,source
2025-05-22,Finisher West,8.9,Finisher 1 (14% CP),AgriFeed Co,R. Chen,LOT-7686,29,84,SYNTHETIC — requires bin scale API
2025-05-25,Nursery North,14.3,Phase 3 (18% CP),AgriFeed Co,J. Miller,LOT-5647,14,60,SYNTHETIC — requires bin scale API
2025-05-25,Nursery South,9.0,Phase 3 (18% CP),AgriFeed Co,J. Miller,LOT-7837,19,80,SYNTHETIC — requires bin scale API
2025-05-25,Finisher East,14.9,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-3028,25,67,SYNTHETIC — requires bin scale API
2025-05-25,Finisher West,7.9,Grower (16% CP),AgriFeed Co,T. Anderson,LOT-9848,15,76,SYNTHETIC — requires bin scale API
2025-05-28,Nursery North,10.3,Phase 1 (22% CP),AgriFeed Co,J. Miller,LOT-7509,23,67,SYNTHETIC — requires bin scale API
2025-05-28,Nursery South,15.7,Phase 2 (20% CP),AgriFeed Co,T. Anderson,LOT-8962,22,90,SYNTHETIC — requires bin scale API
2025-05-28,Finisher East,9.6,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-8984,32,84,SYNTHETIC — requires bin scale API
2025-05-28,Finisher West,13.2,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-1985,29,65,SYNTHETIC — requires bin scale API
2025-05-31,Nursery North,7.9,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-7928,34,73,SYNTHETIC — requires bin scale API
2025-05-31,Nursery South,16.1,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-8566,28,94,SYNTHETIC — requires bin scale API
2025-05-31,Finisher East,6.9,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-2635,12,91,SYNTHETIC — requires bin scale API
2025-05-31,Finisher West,17.3,Grower (16% CP),AgriFeed Co,T. Anderson,LOT-2073,10,94,SYNTHETIC — requires bin scale API
2025-06-03,Nursery North,10.3,Phase 1 (22% CP),AgriFeed Co,J. Miller,LOT-2956,25,74,SYNTHETIC — requires bin scale API
2025-06-03,Nursery South,10.7,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-5827,25,63,SYNTHETIC — requires bin scale API
2025-06-03,Finisher East,11.0,Grower (16% CP),AgriFeed Co,J. Miller,LOT-1757,17,83,SYNTHETIC — requires bin scale API
2025-06-03,Finisher West,17.6,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-4558,22,61,SYNTHETIC — requires bin scale API
2025-06-06,Nursery North,16.6,Phase 3 (18% CP),AgriFeed Co,R. Chen,LOT-2001,38,75,SYNTHETIC — requires bin scale API
2025-06-06,Nursery South,10.8,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-9849,27,64,SYNTHETIC — requires bin scale API
2025-06-06,Finisher East,15.4,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-5266,39,82,SYNTHETIC — requires bin scale API
2025-06-06,Finisher West,16.0,Finisher 1 (14% CP),AgriFeed Co,M. Garcia,LOT-2657,38,63,SYNTHETIC — requires bin scale API
2025-06-09,Nursery North,15.2,Phase 2 (20% CP),AgriFeed Co,M. Garcia,LOT-6737,27,74,SYNTHETIC — requires bin scale API
2025-06-09,Nursery South,11.8,Phase 1 (22% CP),AgriFeed Co,T. Anderson,LOT-3671,33,62,SYNTHETIC — requires bin scale API
2025-06-09,Finisher East,15.9,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-8263,13,63,SYNTHETIC — requires bin scale API
2025-06-09,Finisher West,8.8,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-1725,33,65,SYNTHETIC — requires bin scale API
2025-06-12,Nursery North,11.3,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-3197,25,70,SYNTHETIC — requires bin scale API
2025-06-12,Nursery South,11.5,Phase 2 (20% CP),AgriFeed Co,R. Chen,LOT-8483,21,82,SYNTHETIC — requires bin scale API
2025-06-12,Finisher East,11.5,Finisher 1 (14% CP),AgriFeed Co,T. Anderson,LOT-2814,19,78,SYNTHETIC — requires bin scale API
2025-06-12,Finisher West,16.6,Grower (16% CP),AgriFeed Co,R. Chen,LOT-3931,32,89,SYNTHETIC — requires bin scale API
2025-06-15,Nursery North,15.3,Phase 2 (20% CP),AgriFeed Co,T. Anderson,LOT-8415,25,84,SYNTHETIC — requires bin scale API
2025-06-15,Nursery South,15.6,Phase 2 (20% CP),AgriFeed Co,T. Anderson,LOT-7782,18,84,SYNTHETIC — requires bin scale API
2025-06-15,Finisher East,13.9,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-6578,20,80,SYNTHETIC — requires bin scale API
2025-06-15,Finisher West,16.0,Grower (16% CP),AgriFeed Co,R. Chen,LOT-4792,39,61,SYNTHETIC — requires bin scale API
2025-06-18,Nursery North,17.1,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-7197,36,70,SYNTHETIC — requires bin scale API
2025-06-18,Nursery South,11.0,Phase 3 (18% CP),AgriFeed Co,J. Miller,LOT-2012,36,85,SYNTHETIC — requires bin scale API
2025-06-18,Finisher East,17.4,Grower (16% CP),AgriFeed Co,M. Garcia,LOT-5586,24,71,SYNTHETIC — requires bin scale API
2025-06-18,Finisher West,10.4,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-7785,35,86,SYNTHETIC — requires bin scale API
2025-06-21,Nursery North,14.5,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-2902,32,71,SYNTHETIC — requires bin scale API
2025-06-21,Nursery South,10.9,Phase 3 (18% CP),AgriFeed Co,T. Anderson,LOT-1464,33,80,SYNTHETIC — requires bin scale API
2025-06-21,Finisher East,7.1,Finisher 1 (14% CP),AgriFeed Co,M. Garcia,LOT-3851,37,88,SYNTHETIC — requires bin scale API
2025-06-21,Finisher West,13.5,Grower (16% CP),AgriFeed Co,J. Miller,LOT-7543,23,69,SYNTHETIC — requires bin scale API
2025-06-24,Nursery North,14.0,Phase 1 (22% CP),AgriFeed Co,T. Anderson,LOT-7940,12,74,SYNTHETIC — requires bin scale API
2025-06-24,Nursery South,10.7,Phase 2 (20% CP),AgriFeed Co,M. Garcia,LOT-8954,22,80,SYNTHETIC — requires bin scale API
2025-06-24,Finisher East,15.7,Finisher 2 (13% CP),AgriFeed Co,R. Chen,LOT-9476,29,84,SYNTHETIC — requires bin scale API
2025-06-24,Finisher West,9.2,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-5319,25,77,SYNTHETIC — requires bin scale API
2025-06-27,Nursery North,6.7,Phase 2 (20% CP),AgriFeed Co,T. Anderson,LOT-2810,32,93,SYNTHETIC — requires bin scale API
2025-06-27,Nursery South,8.3,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-7364,13,81,SYNTHETIC — requires bin scale API
2025-06-27,Finisher East,10.0,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-8910,28,78,SYNTHETIC — requires bin scale API
2025-06-27,Finisher West,13.8,Finisher 2 (13% CP),AgriFeed Co,R. Chen,LOT-9339,18,91,SYNTHETIC — requires bin scale API
2025-06-30,Nursery North,15.9,Phase 2 (20% CP),AgriFeed Co,T. Anderson,LOT-7781,20,81,SYNTHETIC — requires bin scale API
2025-06-30,Nursery South,14.1,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-6929,18,90,SYNTHETIC — requires bin scale API
2025-06-30,Finisher East,17.9,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-6308,28,90,SYNTHETIC — requires bin scale API
2025-06-30,Finisher West,11.6,Finisher 1 (14% CP),AgriFeed Co,R. Chen,LOT-2907,19,61,SYNTHETIC — requires bin scale API
2025-07-03,Nursery North,13.4,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-1143,25,90,SYNTHETIC — requires bin scale API
2025-07-03,Nursery South,14.3,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-1886,30,63,SYNTHETIC — requires bin scale API
2025-07-03,Finisher East,13.2,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-3654,26,92,SYNTHETIC — requires bin scale API
2025-07-03,Finisher West,11.9,Grower (16% CP),AgriFeed Co,R. Chen,LOT-6300,19,66,SYNTHETIC — requires bin scale API
2025-07-06,Nursery North,9.0,Phase 3 (18% CP),AgriFeed Co,J. Miller,LOT-5042,17,70,SYNTHETIC — requires bin scale API
2025-07-06,Nursery South,16.2,Phase 3 (18% CP),AgriFeed Co,J. Miller,LOT-3842,26,61,SYNTHETIC — requires bin scale API
2025-07-06,Finisher East,15.2,Finisher 1 (14% CP),AgriFeed Co,M. Garcia,LOT-3077,29,87,SYNTHETIC — requires bin scale API
2025-07-06,Finisher West,15.2,Grower (16% CP),AgriFeed Co,J. Miller,LOT-9635,19,92,SYNTHETIC — requires bin scale API
2025-07-09,Nursery North,13.5,Phase 1 (22% CP),AgriFeed Co,J. Miller,LOT-9745,24,75,SYNTHETIC — requires bin scale API
2025-07-09,Nursery South,8.5,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-7897,20,86,SYNTHETIC — requires bin scale API
2025-07-09,Finisher East,14.8,Finisher 1 (14% CP),AgriFeed Co,M. Garcia,LOT-6593,34,61,SYNTHETIC — requires bin scale API
2025-07-09,Finisher West,10.9,Grower (16% CP),AgriFeed Co,M. Garcia,LOT-2881,18,69,SYNTHETIC — requires bin scale API
2025-07-12,Nursery North,7.0,Phase 2 (20% CP),AgriFeed Co,M. Garcia,LOT-5883,16,61,SYNTHETIC — requires bin scale API
2025-07-12,Nursery South,11.1,Phase 2 (20% CP),AgriFeed Co,R. Chen,LOT-2409,34,73,SYNTHETIC — requires bin scale API
2025-07-12,Finisher East,10.8,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-3172,16,83,SYNTHETIC — requires bin scale API
2025-07-12,Finisher West,10.4,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-8825,33,73,SYNTHETIC — requires bin scale API
2025-07-15,Nursery North,15.6,Phase 2 (20% CP),AgriFeed Co,M. Garcia,LOT-7135,15,81,SYNTHETIC — requires bin scale API
2025-07-15,Nursery South,12.3,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-5535,34,91,SYNTHETIC — requires bin scale API
2025-07-15,Finisher East,14.1,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-9386,32,91,SYNTHETIC — requires bin scale API
2025-07-15,Finisher West,15.1,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-6874,23,90,SYNTHETIC — requires bin scale API
2025-07-18,Nursery North,6.5,Phase 1 (22% CP),AgriFeed Co,T. Anderson,LOT-8766,23,66,SYNTHETIC — requires bin scale API
2025-07-18,Nursery South,7.5,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-9872,31,93,SYNTHETIC — requires bin scale API
2025-07-18,Finisher East,9.8,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-7998,17,73,SYNTHETIC — requires bin scale API
2025-07-18,Finisher West,7.4,Grower (16% CP),AgriFeed Co,T. Anderson,LOT-8454,12,76,SYNTHETIC — requires bin scale API
2025-07-21,Nursery North,12.7,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-3237,32,91,SYNTHETIC — requires bin scale API
2025-07-21,Nursery South,16.2,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-1325,34,90,SYNTHETIC — requires bin scale API
2025-07-21,Finisher East,10.6,Grower (16% CP),AgriFeed Co,T. Anderson,LOT-5603,36,84,SYNTHETIC — requires bin scale API
2025-07-21,Finisher West,10.7,Grower (16% CP),AgriFeed Co,M. Garcia,LOT-8754,16,83,SYNTHETIC — requires bin scale API
2025-07-24,Nursery North,10.9,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-3575,12,79,SYNTHETIC — requires bin scale API
2025-07-24,Nursery South,13.0,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-8604,24,60,SYNTHETIC — requires bin scale API
2025-07-24,Finisher East,10.8,Grower (16% CP),AgriFeed Co,M. Garcia,LOT-8493,17,88,SYNTHETIC — requires bin scale API
2025-07-24,Finisher West,14.3,Grower (16% CP),AgriFeed Co,R. Chen,LOT-6594,21,71,SYNTHETIC — requires bin scale API
2025-07-27,Nursery North,12.9,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-1242,31,78,SYNTHETIC — requires bin scale API
2025-07-27,Nursery South,14.8,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-9844,22,81,SYNTHETIC — requires bin scale API
2025-07-27,Finisher East,9.7,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-6162,28,67,SYNTHETIC — requires bin scale API
2025-07-27,Finisher West,7.5,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-4823,28,85,SYNTHETIC — requires bin scale API
2025-07-30,Nursery North,9.6,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-5232,29,78,SYNTHETIC — requires bin scale API
2025-07-30,Nursery South,16.0,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-6326,32,73,SYNTHETIC — requires bin scale API
2025-07-30,Finisher East,6.6,Finisher 1 (14% CP),AgriFeed Co,R. Chen,LOT-3657,20,78,SYNTHETIC — requires bin scale API
2025-07-30,Finisher West,14.3,Finisher 1 (14% CP),AgriFeed Co,M. Garcia,LOT-5837,26,87,SYNTHETIC — requires bin scale API
2025-08-02,Nursery North,16.8,Phase 3 (18% CP),AgriFeed Co,M. Garcia,LOT-4957,24,66,SYNTHETIC — requires bin scale API
2025-08-02,Nursery South,13.7,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-8833,15,71,SYNTHETIC — requires bin scale API
2025-08-02,Finisher East,10.3,Grower (16% CP),AgriFeed Co,T. Anderson,LOT-4892,33,75,SYNTHETIC — requires bin scale API
2025-08-02,Finisher West,6.7,Grower (16% CP),AgriFeed Co,T. Anderson,LOT-5213,31,63,SYNTHETIC — requires bin scale API
2025-08-05,Nursery North,10.8,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-9557,35,70,SYNTHETIC — requires bin scale API
2025-08-05,Nursery South,10.4,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-9982,27,87,SYNTHETIC — requires bin scale API
2025-08-05,Finisher East,13.0,Grower (16% CP),AgriFeed Co,J. Miller,LOT-1920,31,88,SYNTHETIC — requires bin scale API
2025-08-05,Finisher West,10.1,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-4618,39,87,SYNTHETIC — requires bin scale API
2025-08-08,Nursery North,18.0,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-3547,38,74,SYNTHETIC — requires bin scale API
2025-08-08,Nursery South,11.4,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-1506,24,82,SYNTHETIC — requires bin scale API
2025-08-08,Finisher East,11.0,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-2192,19,69,SYNTHETIC — requires bin scale API
2025-08-08,Finisher West,9.1,Grower (16% CP),AgriFeed Co,J. Miller,LOT-7106,29,92,SYNTHETIC — requires bin scale API
2025-08-11,Nursery North,7.5,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-2539,26,63,SYNTHETIC — requires bin scale API
2025-08-11,Nursery South,8.5,Phase 2 (20% CP),AgriFeed Co,M. Garcia,LOT-8680,16,89,SYNTHETIC — requires bin scale API
2025-08-11,Finisher East,10.4,Grower (16% CP),AgriFeed Co,R. Chen,LOT-1919,28,86,SYNTHETIC — requires bin scale API
2025-08-11,Finisher West,13.1,Grower (16% CP),AgriFeed Co,J. Miller,LOT-6275,37,88,SYNTHETIC — requires bin scale API
2025-08-14,Nursery North,7.7,Phase 3 (18% CP),AgriFeed Co,R. Chen,LOT-8354,13,76,SYNTHETIC — requires bin scale API
2025-08-14,Nursery South,12.3,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-9111,16,63,SYNTHETIC — requires bin scale API
2025-08-14,Finisher East,8.4,Finisher 1 (14% CP),AgriFeed Co,R. Chen,LOT-6185,21,71,SYNTHETIC — requires bin scale API
2025-08-14,Finisher West,15.9,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-1692,16,60,SYNTHETIC — requires bin scale API
2025-08-17,Nursery North,9.9,Phase 2 (20% CP),AgriFeed Co,R. Chen,LOT-6209,22,65,SYNTHETIC — requires bin scale API
2025-08-17,Nursery South,14.7,Phase 2 (20% CP),AgriFeed Co,R. Chen,LOT-8933,14,89,SYNTHETIC — requires bin scale API
2025-08-17,Finisher East,14.1,Grower (16% CP),AgriFeed Co,J. Miller,LOT-8396,21,89,SYNTHETIC — requires bin scale API
2025-08-17,Finisher West,6.3,Grower (16% CP),AgriFeed Co,J. Miller,LOT-1404,21,88,SYNTHETIC — requires bin scale API
2025-08-20,Nursery North,9.4,Phase 2 (20% CP),AgriFeed Co,T. Anderson,LOT-9462,11,77,SYNTHETIC — requires bin scale API
2025-08-20,Nursery South,13.2,Phase 3 (18% CP),AgriFeed Co,J. Miller,LOT-1421,14,92,SYNTHETIC — requires bin scale API
2025-08-20,Finisher East,16.0,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-5675,36,77,SYNTHETIC — requires bin scale API
2025-08-20,Finisher West,9.2,Finisher 1 (14% CP),AgriFeed Co,T. Anderson,LOT-7103,31,61,SYNTHETIC — requires bin scale API
2025-08-23,Nursery North,15.9,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-4096,32,80,SYNTHETIC — requires bin scale API
2025-08-23,Nursery South,11.0,Phase 3 (18% CP),AgriFeed Co,J. Miller,LOT-6798,37,91,SYNTHETIC — requires bin scale API
2025-08-23,Finisher East,8.6,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-9456,35,81,SYNTHETIC — requires bin scale API
2025-08-23,Finisher West,6.7,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-6673,30,91,SYNTHETIC — requires bin scale API
2025-08-26,Nursery North,16.0,Phase 3 (18% CP),AgriFeed Co,R. Chen,LOT-4854,16,88,SYNTHETIC — requires bin scale API
2025-08-26,Nursery South,6.1,Phase 3 (18% CP),AgriFeed Co,R. Chen,LOT-3395,38,74,SYNTHETIC — requires bin scale API
2025-08-26,Finisher East,13.2,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-1588,38,78,SYNTHETIC — requires bin scale API
2025-08-26,Finisher West,16.6,Finisher 2 (13% CP),AgriFeed Co,J. Miller,LOT-9531,24,63,SYNTHETIC — requires bin scale API
2025-08-29,Nursery North,6.1,Phase 3 (18% CP),AgriFeed Co,T. Anderson,LOT-9022,25,72,SYNTHETIC — requires bin scale API
2025-08-29,Nursery South,17.9,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-7477,22,66,SYNTHETIC — requires bin scale API
2025-08-29,Finisher East,7.2,Finisher 1 (14% CP),AgriFeed Co,J. Miller,LOT-4496,31,83,SYNTHETIC — requires bin scale API
2025-08-29,Finisher West,12.3,Grower (16% CP),AgriFeed Co,J. Miller,LOT-2231,23,67,SYNTHETIC — requires bin scale API
2025-09-01,Nursery North,9.6,Phase 1 (22% CP),AgriFeed Co,J. Miller,LOT-2689,23,73,SYNTHETIC — requires bin scale API
2025-09-01,Nursery South,9.0,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-6649,39,72,SYNTHETIC — requires bin scale API
2025-09-01,Finisher East,7.1,Finisher 1 (14% CP),AgriFeed Co,R. Chen,LOT-2342,34,87,SYNTHETIC — requires bin scale API
2025-09-01,Finisher West,13.7,Finisher 2 (13% CP),AgriFeed Co,M. Garcia,LOT-5206,18,91,SYNTHETIC — requires bin scale API
2025-09-04,Nursery North,6.3,Phase 1 (22% CP),AgriFeed Co,M. Garcia,LOT-1813,34,93,SYNTHETIC — requires bin scale API
2025-09-04,Nursery South,6.5,Phase 2 (20% CP),AgriFeed Co,M. Garcia,LOT-6911,25,89,SYNTHETIC — requires bin scale API
2025-09-04,Finisher East,11.9,Grower (16% CP),AgriFeed Co,T. Anderson,LOT-2141,27,77,SYNTHETIC — requires bin scale API
2025-09-04,Finisher West,14.1,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-5270,21,72,SYNTHETIC — requires bin scale API
2025-09-07,Nursery North,9.4,Phase 1 (22% CP),AgriFeed Co,R. Chen,LOT-4786,28,94,SYNTHETIC — requires bin scale API
2025-09-07,Nursery South,9.9,Phase 2 (20% CP),AgriFeed Co,J. Miller,LOT-5658,20,81,SYNTHETIC — requires bin scale API
2025-09-07,Finisher East,8.2,Finisher 1 (14% CP),AgriFeed Co,R. Chen,LOT-7219,32,87,SYNTHETIC — requires bin scale API
2025-09-07,Finisher West,11.0,Finisher 2 (13% CP),AgriFeed Co,T. Anderson,LOT-3962,37,85,SYNTHETIC — requires bin scale API
